Obesity.BMI GENDER Litter cage
-0.558879923655098 F 2 13H
-0.366847280153625 F 1 18H
-0.494556904822482 F 1 12E
-0.379054664511664 M 1 12C
-0.449847169853 M 1 4B
-0.452356395148854 M 1 3A
-0.442567676995773 M 3 12B
-0.53316147860584 M 1 15D
-0.455162210758403 F 1 15E
-0.482950798380386 F 1 6E
-0.464305590198273 M 1 11C
-0.429603016927375 M 1 11B
-0.535278678735702 M 2 8A
-0.498683936070674 F 1 8D
-0.501696450903618 M 2 8C
-0.427744990298084 M 1 11D
-0.543728884253458 M 3 19C
-0.434152181326482 M 1 18D
-0.383815365980431 F 2 19F
-0.534878309745889 M 1 8B
-0.392445698128618 M 1 21A
-0.465735859143769 M 6 17A
-0.480609582565484 F 2 19F
-0.544939635753784 F 2 7F
-0.440318606811914 F 4 20F
-0.492443951914216 F 1 19E
-0.584331224367531 M 2 8A
-0.422672472108194 M 2 17C
-0.46462888456519 F 2 19G
-0.517708945241658 M 1 7D
-0.397940008672038 M 2 17C
-0.411600357119053 F 4 20F
-0.414103502272857 F 2 10E
-0.512347598844462 F 1 15E
-0.317647731659436 M 1 18D
-0.389166084364532 M 1 15C
-0.394561116251239 F 1 12F
-0.521738115650531 F 1 6F
-0.396664814226783 F 1 11F
-0.330166778293642 M 4 13C
-0.525741238362966 F 1 17F
-0.53366880905375 F 3 13E
-0.502477388458579 M 1 3E
-0.580100947366703 F 1 19E
-0.515302875475779 F 1 18G
-0.359289799214893 M 1 15C
-0.554222874374166 F 1 9F
-0.35701259246669 M 1 14A
-0.410526453071497 F 3 13E
-0.471576300542356 F 1 12F
-0.382226532946932 M 3 14D
-0.481133052426762 F 4 20F
-0.475107896469829 M 1 5A
-0.495690821406301 F 3 13E
-0.357757620112908 M 1 15A
-0.522503811595707 M 1 4D
-0.528916700277655 M 2 9C
-0.466988250530602 F 1 21G
-0.522525737584987 F 2 18E
-0.498588992319352 M 2 8C
-0.522525737584987 F 2 14E
-0.372761754055997 M 1 12C
-0.52013166685422 M 1 15D
-0.563466435802333 M 2 8A
-0.485336128971254 M 1 5A
-0.491538993074091 F 1 12F
-0.551465439828977 F 2 14E
-0.454340818771717 M 1 6A
-0.522235822169727 F 3 12H
-0.403769552332761 M 1 21A
-0.479041094520088 F 3 18F
-0.480609582565484 M 1 18D
-0.471291711058939 F 1 18G
-0.522878745280338 F 1 5D
-0.5095732785008 F 1 15G
-0.417015552815013 M 1 18C
-0.45719996963636 F 3 10G
-0.571596140250238 F 1 7E
-0.502149260421593 F 1 5E
-0.436521716496434 M 1 20A
-0.448901208130244 M 2 9B
-0.389166084364532 M 2 17C
-0.597178783389159 F 3 20D
-0.369911285071794 M 3 14B
-0.556384004845954 F 2 8F
-0.400069447374857 M 3 12A
-0.393058800733235 M 1 17D
-0.407699845961194 M 2 15B
-0.511820323823396 F 1 3G
-0.517126416391246 M 2 8A
-0.468218859924043 F 1 3F
-0.482950798380386 F 1 6D
-0.466621832925453 F 1 11F
-0.516114516747433 F 2 19G
-0.455242201739707 M 2 8C
-0.485336128971254 F 3 13G
-0.572182928943144 M 1 8B
-0.452487870977232 F 1 11F
-0.394271263535564 M 1 6B
-0.339916646852433 M 2 13B
-0.387878682664142 M 4 13C
-0.424630381500019 M 3 11A
-0.40944466645022 M 3 12D
-0.526275835057995 F 1 5D
-0.380528592461499 M 3 13A
-0.374237358222853 M 1 20B
-0.531637563430103 F 1 4G
-0.458191949380623 F 1 10F
-0.551193094988807 F 1 13F
-0.372975454571053 M 2 13B
-0.303607418551792 M 5 13D
-0.435911391909708 F 2 10E
-0.43549501511542 M 1 11C
-0.459709838509124 M 1 11D
-0.46763008089834 M 2 9C
-0.486033687872833 M 1 11C
-0.511989402850212 F 2 18E
-0.566314578215649 F 2 14E
-0.454810067740765 M 1 3B
-0.489680221641414 M 1 6A
-0.438368665727646 F 2 19F
-0.549439580157625 F 2 19G
-0.493006750656912 F 1 17F
-0.5095732785008 F 3 13G
-0.458191949380623 F 2 14E
-0.450183916067668 F 3 20D
-0.469371113205107 F 4 17G
-0.497269495803507 F 1 11E
-0.460087915420882 M 1 3C
-0.437836230930322 M 1 6B
-0.47596467751972 F 3 10G
-0.417466044248332 F 1 15G
-0.451750745465355 M 1 4A
-0.422589839851482 F 3 12H
-0.400069447374857 M 1 10D
-0.464886798302651 F 1 11E
-0.49429642761928 F 2 11G
-0.55661985151718 F 2 8F
-0.393176218875974 F 3 20D
-0.339241687869906 M 1 20A
-0.448428828099434 F 2 17E
-0.474559037955062 M 2 9C
-0.436268688912093 F 6 17H
-0.335891813663248 M 2 13B
-0.427744990298084 F 2 14G
-0.501139843808465 F 1 8D
-0.57708179793573 F 1 19E
-0.498823601081284 M 1 14A
-0.503929249093328 F 1 15F
-0.435344969035137 M 1 21A
-0.358654984882697 F 1 12E
-0.534343456806028 F 3 12G
-0.416833284354942 M 2 15B
-0.511618668310676 M 2 9D
-0.493787113306403 M 3 11A
-0.494154594018443 F 1 8D
-0.382370411327097 M 1 10D
-0.512729481029416 F 1 13F
-0.406894851324964 M 3 14D
-0.418790147645158 M 1 20A
-0.620693105961907 F 2 11G
-0.464787519645937 M 2 8C
-0.270916158627354 M 1 20B
-0.548660758473412 F 1 15E
-0.533769203072067 F 2 21F
-0.46614089816892 M 2 7B
-0.488043437153058 F 3 14H
-0.511713747822294 F 1 18G
-0.474559037955062 M 1 4B
-0.463351282919065 M 3 13A
-0.498721234181341 F 1 19E
-0.455809601942223 M 2 9D
-0.511952953877333 F 1 18H
-0.602931582731471 F 1 8B
-0.5725377114333 F 1 15E
-0.446207368105476 F 1 11F
-0.380307998865154 M 3 13A
-0.355387657986574 M 1 18D
-0.480609582565484 M 1 18C
-0.500828604537263 M 2 17B
-0.471291711058939 M 1 7D
-0.524276116826071 F 2 17E
-0.371724625835262 M 1 10D
-0.426628475894325 M 4 10B
-0.330564074261542 M 3 14D
-0.512910062359889 F 1 6F
-0.531570145796273 M 2 6D
-0.35805450383601 F 3 20D
-0.544834180271989 F 2 9E
-0.398944580521682 M 1 18C
-0.576252727721677 F 2 8B
-0.409162712780786 M 1 14A
-0.517130705698281 M 1 7D
-0.483370203996664 F 3 14F
-0.485255149602967 M 1 14C
-0.466722019423137 M 2 7B
-0.351219914506555 M 4 13C
-0.386264224459644 M 3 12A
-0.470087991988459 F 2 13H
-0.549439580157625 F 1 20E
-0.464565217775626 M 2 9D
-0.556388661759913 F 2 7F
-0.363860219099762 M 1 15D
-0.420683135810597 F 2 14G
-0.341238447625981 M 2 13B
-0.516145362621369 M 1 3A
-0.532803092850453 F 2 17E
-0.475646569153657 M 2 9A
-0.466125870418199 M 2 8C
-0.495733503929942 M 1 5C
-0.528479068819131 F 1 7E
-0.535278678735702 F 2 8G
-0.433383000674605 F 2 18E
-0.43922832538776 M 1 6A
-0.440492359357501 M 3 19C
-0.457430072214225 F 1 15E
-0.571584326024512 F 1 13F
-0.562601805946937 F 4 20F
-0.374313844838979 F 2 8G
-0.511618668310676 F 2 21F
-0.546143102252165 F 1 5D
-0.471291711058939 F 6 17H
-0.473034887846964 M 1 4C
-0.548131741291661 F 3 18F
-0.50460985896925 F 1 5D
-0.621488543166288 F 1 20E
-0.457875110935726 M 1 6A
-0.553772008644354 M 1 7E
-0.495425390775658 F 2 19G
-0.55026497919738 F 6 17H
-0.388329131933785 M 1 15D
-0.499821144814839 F 2 9G
-0.442021431169121 M 2 9D
-0.46589986874984 M 3 12B
-0.410982865238013 F 3 14F
-0.557807855764604 M 1 8B
-0.464194630510482 F 2 10E
-0.481274730316795 M 4 10B
-0.410260626081674 M 3 12A
-0.523581081432787 F 1 8E
-0.515302875475779 F 3 10G
-0.427903232049481 M 6 17A
-0.378845105064804 M 1 19A
-0.578293269370214 F 1 18H
-0.571036121498359 F 3 18F
-0.488116639021126 M 1 21B
-0.29541293993652 M 1 20B
-0.507452452650657 M 1 5C
-0.383815365980431 M 2 10C
-0.489355711136674 F 3 12G
-0.518355351421897 F 4 17G
-0.444058034787193 M 3 10A
-0.494455456158569 F 3 10G
-0.481897518686194 M 1 15A
-0.486076097372589 F 2 10E
-0.413634997198556 M 1 11D
-0.485179720414738 F 2 19F
-0.39929657442176 M 1 14A
-0.375374180773296 M 2 19D
-0.417684066867795 M 3 14B
-0.333300840028008 M 1 20C
-0.491948521714954 F 3 13G
-0.57467419083833 F 1 20E
-0.488091388607914 M 1 14C
-0.343408593803857 M 4 10B
-0.487671437052971 F 3 14H
-0.524333294692245 F 3 14F
-0.384223039418706 F 3 20D
-0.499702524474506 M 3 12A
-0.42276359239707 F 1 12F
-0.471368925830571 M 1 20B
-0.476693167467748 M 1 3C
-0.462320796853174 F 2 21F
-0.420505836570779 M 1 25B
-0.444702071082357 M 2 25C
-0.356313769067795 F 1 25F
-0.481887890006695 F 1 32E
-0.402939791051735 M 2 25D
-0.418790147645158 M 3 30B
-0.528297964434567 F 2 23G
-0.531833587933264 F 2 25G
-0.360226643780039 M 2 31A
-0.41137916622742 M 1 21C
-0.438824052957868 M 1 28C
-0.454810067740765 M 2 29B
-0.486556264408109 M 3 30C
-0.450861908895772 M 1 22C
-0.444601846906226 M 2 26C
-0.434389648884436 F 1 24D
-0.462001635288708 F 5 30E
-0.494877377951207 F 2 23G
-0.378845105064804 F 1 25F
-0.492312753614734 F 2 32F
-0.352268679103988 M 2 26B
-0.425378257018977 F 1 23E
-0.528948424919321 F 3 32H
-0.424676587296803 M 2 26B
-0.448245126983433 M 3 25A
-0.482950798380386 F 2 26E
-0.490177460638048 F 2 26H
-0.518378244053661 F 5 27F
-0.499861261018596 F 2 25G
-0.447493264459523 F 2 26F
-0.419387739455584 M 1 32C
-0.396404493288452 M 2 25D
-0.406499434129858 M 4 27A
-0.450154116790764 M 2 26D
-0.449663666458257 M 2 26D
-0.564081117340906 F 2 27D
-0.438527699194033 M 2 24A
-0.44500616424672 M 3 24B
-0.433003753220234 F 3 30F
-0.548660758473412 M 3 30C
-0.54329665075155 F 1 27E
-0.449646831745914 F 1 22E
-0.362482474751174 M 2 27C
-0.395729853866921 M 1 21C
-0.30776337832295 M 4 29A
-0.40944466645022 M 4 29A
-0.429976240672346 M 3 30D
-0.438824052957868 M 3 26A
-0.579654438405627 F 3 31F
-0.414714967507925 F 2 27D
-0.527468782530814 F 1 27E
-0.392140872466737 F 1 21G
-0.49475074302338 F 5 30E
-0.471592573199065 F 1 25F
-0.498631896373187 F 2 31E
-0.552598875744374 F 2 25E
-0.489902813134259 F 2 31G
-0.480593817313855 M 2 24A
-0.517017476977947 F 3 32H
-0.502998111224407 F 2 23F
-0.431363764158987 M 1 25B
-0.462320796853174 F 3 30F
-0.583066578176925 F 3 32G
-0.554801308529733 F 1 22E
-0.490490173100146 F 2 23F
-0.511207182252689 M 3 30C
-0.445610662192565 M 3 24B
-0.378845105064804 M 1 28B
-0.518009898641094 M 3 30D
-0.446207368105476 M 1 22B
-0.431431627973783 M 3 26A
-0.459392487759231 M 2 27C
-0.374137093999413 M 2 24A
-0.45377543203177 M 2 24A
-0.456275815114959 F 4 24F
-0.36258527851113 M 2 31A
-0.394518706751483 F 1 28G
-0.433247581122845 M 2 23B
-0.407518745414182 M 3 30B
-0.478280920246901 M 3 31B
-0.544326476063884 F 1 26G
-0.412127578533201 M 4 27A
-0.441798249200421 F 3 24G
-0.419149682327699 F 2 21F
-0.442222813666707 F 2 25E
-0.442169734566962 F 2 30G
-0.460271783741414 M 3 30B
-0.537575607711698 F 3 32H
-0.447754180347157 M 2 32A
-0.433941187046798 M 2 26B
-0.485165380388339 F 1 23E
-0.469785392924475 F 1 28F
-0.518792378407639 F 2 32F
-0.467723480379282 F 2 31G
-0.585532118426538 F 3 30H
-0.390964407770095 M 2 23B
-0.523412576044384 F 1 22D
-0.402003705613423 M 1 29C
-0.541151156694666 F 1 21G
-0.520304847495768 F 1 28F
-0.475107896469829 F 1 28G
-0.562809881757897 M 2 29B
-0.471626944176243 F 3 31F
-0.431642202688739 M 1 28B
-0.503929249093328 F 4 24F
-0.501555796576508 F 3 30F
-0.343582346349445 M 2 27C
-0.502983916563398 F 1 23E
-0.457023910502713 F 2 25G
-0.495112708629003 F 2 23G
-0.485624015154984 M 1 22A
-0.51376048439828 F 1 24D
-0.462001635288708 M 2 25C
-0.526098737654034 F 3 30F
-0.429766197689983 M 3 30D
-0.394096669590277 M 1 22C
-0.476316260083433 F 1 27E
-0.449663666458257 F 2 23F
-0.523412576044384 F 5 30E
-0.452149976899718 F 5 27F
-0.426254358380507 M 2 24C
-0.378627957122064 M 2 24C
-0.340788861420558 M 3 23D
-0.471592573199065 F 2 32F
-0.46818316693188 F 3 28E
-0.363987829748491 M 3 30C
-0.55451894802687 F 1 27E
-0.512076423654605 F 1 22E
-0.557124250268661 F 3 30H
-0.400006945857348 M 1 31C
-0.420798932233601 M 1 22C
-0.414714967507925 F 4 24F
-0.486096471958312 M 2 25D
-0.510545010206612 M 2 23A
-0.404009688311021 M 1 22A
-0.476012349731523 F 2 31E
-0.415244866880508 M 1 28B
-0.508352492083741 F 3 28E
-0.459392487759231 F 2 30G
-0.523412576044384 M 2 29B
-0.41418098416426 M 2 24C
-0.522378117580056 M 3 25A
-0.486076097372589 F 2 22F
-0.487469335297903 F 1 21E
-0.436755643970604 M 4 27A
-0.455502810869842 M 2 25C
-0.428358848174471 M 1 32D
-0.476012349731523 F 2 26H
-0.44973545423003 M 1 22B
-0.492312753614734 M 2 31A
-0.56300126311599 F 1 28G
-0.362482474751174 M 1 28C
-0.390964407770095 M 3 31B
-0.528082454177869 M 2 29B
-0.505149978319906 F 3 31F
-0.386285389423799 M 1 22C
-0.501336438515049 F 3 28E
-0.461827897231375 F 3 24G
-0.394471030532468 F 1 22E
-0.365913624730821 M 1 22A
-0.451750745465355 M 2 26D
-0.538163841653713 F 2 25G
-0.559790828613109 F 2 26E
-0.497269495803507 M 1 21C
-0.46763008089834 M 2 21D
-0.393853641799339 M 1 31C
-0.402172162806092 M 3 24B
-0.424630381500019 M 2 25D
-0.476316260083433 F 1 22D
-0.501696450903618 F 1 31D
-0.505467329069799 F 2 24E
-0.485032753224244 F 4 24F
-0.429687696095396 M 2 31A
-0.524713966400823 F 2 24E
-0.413322321513422 M 2 32A
-0.553326943003994 F 1 26G
-0.410083836023215 F 1 21E
-0.559725735673334 F 1 32E
-0.452549911153836 M 1 28B
-0.41373427585527 F 1 21G
-0.521096333317203 M 1 22A
-0.42603493065392 M 2 21D
-0.498631896373187 F 2 26E
-0.442567676995773 M 2 24A
-0.460597188897601 F 2 23F
-0.502934992554404 F 1 22D
-0.442021431169121 M 1 27B
-0.421183069721464 M 1 23C
-0.499864381858222 M 2 30A
-0.484531577841694 M 3 30B
-0.46747960888093 F 3 31F
-0.500828604537263 F 1 25F
-0.52256144803607 F 2 26H
-0.438203188689293 M 1 32D
-0.455656300621807 F 1 24D
-0.449873323505828 F 2 26F
-0.421979776726178 F 1 21G
-0.443563849598821 M 3 31B
-0.449873323505828 F 2 23F
-0.387000022608025 M 2 21D
-0.556898649772225 F 5 27F
-0.511219132735344 F 2 22F
-0.547528576459782 F 2 32F
-0.405625529318945 M 3 24B
-0.485165380388339 F 1 27E
-0.452487870977232 F 2 21F
-0.502149260421593 F 4 24F
-0.419708753434209 M 1 32D
-0.523412576044384 F 2 26F
-0.364060203833546 M 1 22B
-0.516120112208158 M 1 29C
-0.420430523212071 F 2 30G
-0.440691989092988 M 2 31A
-0.457134555417412 M 1 28D
-0.438527699194033 F 3 24G
-0.369911285071794 M 1 29C
-0.402566735682043 F 5 30E
-0.468918321652131 M 3 25A
-0.551165900594189 M 2 30A
-0.580870692258024 F 2 29E
-0.486096471958312 F 4 24F
-0.581441590849751 F 1 21E
-0.462861598609899 F 1 24D
-0.394451680826216 F 2 30G
-0.579860811388443 F 1 21E
-0.379054664511664 M 1 25B
-0.516145362621369 F 1 26G
-0.507727401207717 F 1 31D
-0.441135282468112 F 2 22F
-0.49300168289552 F 2 25G
-0.429489378504924 F 4 24F
-0.473034887846964 F 1 23E
-0.455656300621807 M 3 31B
-0.46763008089834 F 2 31G
-0.419708753434209 M 2 24C
-0.451997017135684 M 2 24A
-0.440318606811914 F 3 28E
-0.399874508449237 M 3 31B
-0.489902813134259 F 1 31D
-0.570651527076338 F 1 32E
-0.432179494079319 M 4 29A
-0.544326476063884 F 2 28H
-0.490781603166678 M 2 23A
-0.473578198818586 M 2 30A
-0.43865534331827 F 1 22E
-0.471368925830571 F 2 26H
-0.494450132976362 M 1 21B
-0.454804113704413 F 5 27F
-0.439244622484727 M 2 27C
-0.447416463055827 M 2 23B
-0.482260894372074 M 4 27A
-0.467723480379282 M 3 30C
-0.438368665727646 M 1 28D
-0.485973666640785 M 1 29C
-0.469371113205107 F 1 25F
-0.494756110017515 F 2 25G
-0.436611108878394 M 2 30A
-0.549207684002687 F 1 27E
-0.351150605043319 M 2 26C
-0.437698874428614 F 1 21G
-0.550593383109703 F 2 23G
-0.462001635288708 M 4 29A
-0.413322321513422 M 1 23C
-0.562637611036914 F 2 23G
-0.436758796045694 M 3 26A
-0.436521716496434 M 4 29A
-0.49651964617172 M 1 32D
-0.519934364633556 F 5 27F
-0.397940008672038 M 1 32C
-0.467902744325206 M 1 28D
-0.550593383109703 F 2 23G
-0.473645616452416 F 3 30H
-0.5451284312208 F 1 25F
-0.4358843423328 M 2 26B
-0.452879358757329 M 3 26A
-0.422733432010801 M 4 27A
-0.448698995047271 M 2 21D
-0.55712281750442 F 3 32G
-0.487183589927315 M 3 31B
-0.524431647346944 M 3 25A
-0.457430072214225 M 2 29B
-0.460087915420882 M 3 23D
-0.457434578367406 M 1 28B
-0.562244493962255 F 2 25E
-0.59979518193269 F 2 29E
-0.447158031342219 F 1 31D
-0.43503566357633 M 3 24B
-0.374851459569808 M 3 23D
-0.470872305442661 F 1 21E
-0.398019324621834 M 1 23C
-0.502998111224407 M 1 22B
-0.492114240343666 F 2 26E
-0.465485412431751 F 1 22D
-0.54320720267714 F 2 28H
-0.409162712780786 F 3 32G
-0.548725402462949 F 2 27D
-0.436758796045694 M 1 28B
-0.474128373935257 M 1 22B
-0.46589986874984 M 2 68A
-0.50460985896925 F 3 32H
-0.431616004318193 M 1 50D
-0.520622664976113 F 3 32H
-0.45229767099463 M 2 64C
-0.46245672205318 M 3 56C
-0.498721914920904 F 1 33G
-0.549798309354286 F 3 68G
-0.427953983286395 M 2 50C
-0.475107896469829 F 2 66F
-0.509822647827094 M 4 66B
-0.388394690765807 M 3 32B
-0.503468506127047 F 4 34G
-0.459906750083268 F 1 33E
-0.452879358757329 M 2 52A
-0.413322321513422 M 3 56C
-0.36806294628722 M 2 64D
-0.291906069068705 M 1 34A
-0.434967888427813 F 1 34E
-0.398015204669438 M 2 64B
-0.501696450903618 M 3 35B
-0.445732711776356 F 1 33E
-0.534338367447388 F 3 50G
-0.577207702458539 F 3 50G
-0.512076423654605 F 3 50G
-0.454593604877462 F 2 68F
-0.53366880905375 M 1 35C
-0.46614089816892 M 2 52A
-0.523581081432787 F 4 52D
-0.299226069988734 M 3 32B
-0.44307166446952 M 1 35D
-0.421700684023379 M 1 34A
-0.512347598844462 F 1 50E
-0.46763008089834 M 1 33C
-0.420198766700944 M 1 57A
-0.405718625245656 F 3 56F
-0.464015724875289 M 1 35C
-0.474547356935093 M 2 33A
-0.409369470452819 M 1 35C
-0.52639939151298 F 2 64E
-0.469720240135358 M 2 66D
-0.411644923387573 M 2 66C
-0.413233648154988 M 3 50B
-0.469009595810579 M 1 50D
-0.462815722665278 M 2 52C
-0.498631896373187 F 2 50F
-0.392880209902635 M 1 50A
-0.48051030390877 M 5 68B
-0.416007998804203 M 2 50C
-0.444909737372417 F 1 34E
-0.525008183983157 F 2 50F
-0.413634997198556 F 3 68G
-0.451269450373693 M 2 52C
-0.532254982043193 F 4 52D
-0.454543431076344 F 3 56F
-0.398266116802174 M 1 57A
-0.368930231301917 M 2 64C
-0.502675359192051 M 1 64A
-0.506537632200857 F 3 56E
-0.397940008672038 M 2 52C
-0.520622664976113 F 3 68G
-0.47097172728319 F 3 68G
-0.350334179326788 M 1 64A
-0.421742923344662 M 1 33C
-0.541362150974351 F 1 33E
-0.527144272026074 F 1 34F
-0.447158031342219 F 2 68F
-0.482408609398095 F 2 66E
-0.390382537564844 M 1 33C
-0.541362150974351 F 2 66E
-0.448698995047271 M 1 34B
-0.490209628526969 F 2 64E
-0.346653836590765 M 2 66C
-0.507452452650657 M 3 35B
-0.41491031081534 M 1 50A
-0.502149260421593 F 3 56E
-0.468665174709139 M 2 33A
-0.436964116573744 M 1 33C
-0.483500321525129 F 2 66E
-0.366810237901024 M 3 56C
-0.568502586207121 F 4 34G
-0.497914191179353 F 1 33G
-0.399639793549932 M 1 35D
-0.304576688766113 M 1 35D
-0.417015552815013 M 1 50D
-0.496387475450735 F 1 35F
-0.478008475624556 F 3 50G
-0.508163627335427 F 2 66E
-0.483500321525129 M 2 34D
-0.494850021680094 F 4 33F
-0.441088411233138 M 1 34B
-0.419030029085262 M 1 35A
-0.530540408882531 M 3 35B
-0.558892219126183 F 1 68E
-0.55451894802687 F 2 68F
-0.383815365980431 F 1 64F
-0.476301057154059 F 2 35H
-0.555759971674993 F 4 34G
-0.422364608003456 M 2 33B
-0.515895728590713 M 1 35D
-0.496387475450735 F 2 64E
-0.471601847574311 M 3 32B
-0.521738115650531 F 4 33F
-0.489872420872704 M 1 68D
-0.468918321652131 M 2 52C
-0.492114240343666 F 1 35G
-0.383231955312918 F 1 50E
-0.490209628526969 M 2 52A
-0.375374180773296 M 2 64D
-0.42684032367579 F 3 56E
-0.492950771647803 F 3 35E
-0.409162712780786 M 1 50D
-0.421483330190423 F 1 33E
-0.432021715020319 F 1 64F
-0.560756842193537 F 2 50F
-0.424268947394387 M 3 50B
-0.372132745065752 M 4 66B
-0.443344491537362 F 1 64F
-0.491538993074091 F 3 50G
-0.504729412281185 M 2 33A
-0.53998533995281 F 1 35G
-0.432185513660361 F 3 56D
-0.442567994091743 M 3 56C
-0.376636781353308 F 3 56F
-0.485165380388339 M 4 66B
-0.37004979391746 F 3 68G
-0.485304703773864 F 1 34F
-0.524117817395886 F 1 33G
-0.419854893432402 M 1 35D
-0.427744990298084 F 2 64E
-0.574400722860083 F 1 35F
-0.43922832538776 M 1 68D
-0.496196798862638 F 1 33G
-0.362482474751174 M 3 32B
-0.476618889733742 F 3 56E
-0.459826999533249 F 1 68E
-0.383229283613445 M 1 57A
-0.524031667279722 M 2 66D
-0.549741514766733 F 1 68E
-0.288214331142591 M 1 68C
-0.433631625614809 F 1 64F
-0.377811818581151 M 2 64B
-0.377649024947006 M 2 66C
-0.46230937541484 M 1 64A
-0.413702861013352 F 4 33F
-0.473034887846964 M 4 33D
-0.516007905908114 F 3 35E
-0.334086270438891 M 2 34D
-0.50877415358169 F 4 34G
-0.52514660673616 F 2 50F
-0.474629992824477 F 3 56F
-0.434930751507768 M 3 50B
-0.56300126311599 F 4 33F
-0.29221366185672 M 2 34C
-0.452359225028027 M 1 50A
-0.41631169874308 F 3 35E
-0.378613675242602 M 1 50A
-0.479844113055136 M 2 68A
-0.440542990429358 M 2 52C
-0.460944180564177 M 2 34D
-0.43734304904862 M 4 33D
-0.528552787647017 M 2 68A
-0.544834180271989 F 3 33H
-0.421979776726178 M 1 34A
-0.393575203269587 F 1 34F
-0.444702071082357 F 3 56E
-0.543728884253458 F 2 50F
-0.372569499417731 M 2 64C
-0.562172661167054 F 2 68F
-0.472668199861248 M 1 57B
-0.459826999533249 F 1 35F
-0.34840825829075 M 2 34D
-0.485624015154984 M 3 35B
-0.37004979391746 M 1 33C
-0.422733432010801 M 2 33B
-0.464244990553643 F 3 35E
-0.471981615067251 M 2 64B
-0.542563787052719 F 1 50E
-0.292256071356476 M 5 68B
-0.50612650226713 M 3 32B
-0.499002369088697 M 1 35A
-0.384223039418706 M 2 66D
-0.48752401511943 F 3 33H
-0.374237358222853 M 2 64B
-0.413274548121081 M 2 66C
-0.414714967507925 F 3 56D
-0.421742923344662 M 2 64D
-0.471981615067251 M 2 50C
-0.454340818771717 M 2 66D
-0.475107896469829 F 1 35G
-0.448884850642725 M 1 68D
-0.537453003437415 F 1 34E
-0.465735859143769 M 1 33C
-0.568643240534232 F 4 52D
-0.459035190756846 M 2 34C
-0.389877141947045 M 2 66C
-0.344114896363329 F 3 56F
-0.447158031342219 F 3 56D
-0.398015204669438 M 2 34D
-0.482873583608754 F 5 36F
-0.472324836962056 M 1 38B
-0.383984458164745 F 4 44G
-0.454810067740765 M 3 37C
-0.422097723946228 M 1 69B
-0.438461620402901 M 1 61C
-0.515873843711679 F 3 65E
-0.546594337519706 F 4 36E
-0.393575203269587 F 4 69H
-0.359307568749894 M 1 59A
-0.549439580157625 F 2 61D
-0.511390186951096 M 2 37A
-0.43270211493125 F 1 63D
-0.418806292121355 M 1 55A
-0.428602823634005 M 3 69D
-0.390998153409929 M 3 70B
-0.466988250530602 F 1 55F
-0.405791304432823 M 2 60B
-0.388329131933785 M 4 60C
-0.537934922379442 F 3 55E
-0.588696029769981 F 3 36G
-0.409678411943282 M 2 37H
-0.440393080700788 M 1 58A
-0.450861908895772 M 2 59D
-0.357087442864468 F 2 69F
-0.485336128971254 F 3 69G
-0.477207415712288 F 1 63D
-0.431363764158987 F 3 62D
-0.499702524474506 F 1 63D
-0.411666033178795 M 1 38A
-0.496809361552046 F 2 69F
-0.500828604537263 M 4 60C
-0.488043437153058 F 3 36G
-0.379668712619312 M 1 59A
-0.502675359192051 F 2 61D
-0.491933134024485 F 2 55D
-0.437433443797971 M 6 37B
